Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated,Hash
Olympus,Immunefi,3333333,260433,581,"Solidity","Stablecoin,Staking","Defi","ETH","Smart Contract,Websites and Applications",2023-05-30,e5835f533713d29af3f9733d2c6b764cdc44451a3c6e33bcb45b5cb0d3d423bd
Chainlink,Immunefi,3000000,0,0,"Solidity","Oracle","Infrastructure","ETH","Smart Contract,Websites and Applications",2023-02-16,c38cd80742732139f564c3a5c89d9d92202830d6fd93a295a2395113a519e674
Wormhole,Immunefi,2500000,0,0,"Solidity,Rust","DEX,Crosschain Liquidity,Lending","Blockchain,NFT","ETH,Fantom,Polygon,Solana,Terra","Smart Contract,Blockchain/DLT",2023-05-05,3fc440708115c78c066279e97c1877543cc294211d710f480fb6d2e1345d6f36
The Graph,Immunefi,2500000,749488,4336,"Solidity,Rust","Staking","Blockchain,Infrastructure","ETH,Avalanche,Fantom,Polygon,Fuse","Smart Contract,Websites and Applications,Blockchain/DLT",2023-08-05,4677c74421d63f92e1c1ee3c13ebcb23348490046688fb601d6649ef0c09c029
zkSync,Immunefi,2300000,0,0,"Rust","L2","NFT","ETH","Smart Contract,Websites and Applications,Blockchain/DLT",2023-04-04,b2fd20ef585916140e0f6aaaccc798b7246568fe41aa014e08c61cebd78525c2
Axelar Network,Immunefi,2250000,0,0,"Rust","Crosschain Liquidity,AMM","Defi,NFT","ETH,Avalanche,Fantom,Polygon","Smart Contract,Blockchain/DLT",2022-10-24,49c8a23d0d6a00bd3132c3bbb43597b817e2042f16ddd2731d6777c6dce73f20
Optimism,Immunefi,2000042,2177042,1809,"Solidity","L2,L1","Defi,NFT","ETH,Optimism","Smart Contract,Blockchain/DLT",2023-06-23,98c9360192777b182a29afef58ea577b72bf4051c113cd5c471325850d8005bb
Rhino.fi,Immunefi,2000000,0,0,"Solidity","L2","Blockchain","ETH","Smart Contract",2023-06-30,3508894f1b28aa458d97b6083129dd6cd24a91e229e4b64dca563884a3e7bfb8
EigenLayer,Immunefi,2000000,0,0,"Solidity","Staking","Infrastructure","ETH","Smart Contract,Websites and Applications",2023-07-17,bbe375264bf5fcc4be15a9c0f8cac738f8892c636565977cb2cbfac85d66b2ad
Sweat Economy,Immunefi,2000000,0,0,"Rust","Staking","Defi,NFT","","Smart Contract",2023-04-04,9fbccc49f69acbb9ca39464cbdef18bf32f8450b59a4dc6a4e849168faf900b8
Lido on Polygon,Immunefi,2000000,0,0,"Solidity","Staking","Defi","ETH","Smart Contract,Websites and Applications",2023-04-15,1ab2dc18dfb740386c2327bf4ad830a9a64c90aef18fff1f1f729f0e8b351236
Zodiac,Immunefi,2000000,0,0,"Solidity","","Defi","ETH","Smart Contract",2022-10-31,07324f5bb38b676ff576ddb0ee3ba8896e38665d6853d022431c635a2d04886c
Gnosis Chain,Immunefi,2000000,25000,5344,"Solidity","Stablecoin,Staking,Crosschain Liquidity,Wallet","Defi","ETH,BSC","Smart Contract",2022-10-13,38da8d7822fe8bb406770b3b344709aaf3e76c00c5675815244a8f76c8e6abe0
Celer,Immunefi,2000000,167000,2165,"Solidity","Crosschain Liquidity,L1,Wallet","Blockchain,Defi,NFT","ETH,Avalanche,Polygon,BSC,Arbitrum","Smart Contract,Websites and Applications",2022-10-13,3162df5fe7eb22c206ae1a557fb767d970609ed9ceec691f5a51b771e4f4cd7f
Lido on Solana,Immunefi,2000000,0,0,"Rust","Staking","Defi","Solana","Smart Contract,Websites and Applications",2023-04-15,cdbad6cb12ead514e8e976b28fe099d2b24c77ff1d0cddb5cb9fe24dcc53f8d4
Lido,Immunefi,2000000,0,0,"Solidity","Staking","Defi","ETH","Smart Contract,Websites and Applications",2023-05-15,9dec6c9907e24bf373ecfd4fcf21c11ee029886775b56986ac83b80874a88d41
Spool,Immunefi,1500000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-03-17,98583643daf47a3e674788ca7bc6bb0809ad08d5a18f71d5df6c56169fa72908
DeGate,Immunefi,1110000,500,2718,"Solidity","Asset Management,DEX,L2","Defi,Exchange","ETH","Smart Contract,Websites and Applications",2023-04-07,0425b7ace0b436b57557252353fbcb2b406f5d80a6e716d8da3c4b3c71366fe4
zkSync Era,Immunefi,1100000,0,489,"Solidity","L2","Blockchain","ETH","Smart Contract,Websites and Applications",2023-04-11,7343a03203fe9a48aceca47f71ac585c51d24c22bae69926dfbc85aba59a765f
Reserve,Immunefi,5000000,0,595,"Solidity","Stablecoin,Synthetic Assets,Oracle,Asset Management,Bug bounty","Defi","ETH","Smart Contract",2023-05-01,fdda1595cc54e2ad63663423ce4f6f06b4e07bdd302fa98854e23e74ec935208
GMX,Immunefi,5000000,0,0,"Solidity","DEX,Perpetuals","Defi","ETH,Avalanche","Smart Contract,Websites and Applications",2023-08-05,4068e8440896b1c176a540f1750a11fd2c1ab067676c96b6d77d4684cdd0fb25
Polygon zkEVM,Immunefi,1000000,0,0,"Solidity","L2,L1","Blockchain","BSC,Arbitrum","Blockchain/DLT",2023-05-07,8b0a912a711cc3e9d39a68b4af9790966e82744d52d1f62c959760d9bbb47aac
Alchemix,Immunefi,1000000,43605,3194,"Solidity","Lending","Defi","ETH","Smart Contract",2022-10-13,e1c8f5a20ef05b9f83372afae8654eef293c4c08d9c05fbbe1d71cf877bc1b36
Aura Finance,Immunefi,1000000,0,0,"Solidity","Staking","Defi","ETH","Smart Contract",2022-12-15,f0f8da15b0e91d2047b957154f104de0a8a19bc54c8b23faf57740d2c540ea72
Nomad,Immunefi,1000000,0,0,"Solidity","Crosschain Liquidity","Defi","ETH","Smart Contract",2023-02-03,f2a9727d45c822dbb19375eed2e8b89e5b56795ea7bfdd96a28e3477a9e4b95c
Aztec Network,Immunefi,1000000,0,0,"Solidity","L2","Blockchain","ETH","Smart Contract",2023-04-29,eccd897e85ce709f76598c5cb4717dc317d3ace14eda6fa5a9719948a87dc692
Balancer,Immunefi,1000000,0,0,"Solidity","Asset Management,DEX,AMM","Defi","ETH","Smart Contract",2023-08-05,9de8aacd6cb96f533b01ba4d39c06ca9150651ecb27f65a1105b35f4c6c937f5
Stader for Polygon,Immunefi,1000000,0,0,"Rust","Staking,Crosschain Liquidity","Defi","ETH","Smart Contract",2023-06-15,f22cb968c2fa847c0e032335d86a3b5fe9629298a29eabedf922bf48ccb32a77
Nebula Protocol,Immunefi,1000000,0,0,"Rust","Asset Management","Defi","Terra","Smart Contract",2022-10-13,6c36dda5a2b418d534118e0c6cf521bbb5b27401422999b769285a39aae290d4
Hakka Finance,Immunefi,1000000,5500,1218,"Solidity","Stablecoin,DEX,AMM,Insurance","Defi","ETH,Fantom,Polygon,BSC","Smart Contract,Websites and Applications",2023-03-28,2f5766b04362ee479a0adeebc5635a1b28be6f92a090837a3382485d02317c18
Moonbeam Network,Immunefi,1000000,0,0,"Rust","L1","Blockchain","Polkadot","Websites and Applications,Blockchain/DLT",2022-10-21,834152ad15a1d983ed70666ad1cdd4bf63e12549dcfa2984905b37836d5b5719
Metis,Immunefi,1000000,130000,705,"Solidity","L2","Blockchain","ETH","Smart Contract",2023-02-06,06d0baa9ae533872ee34c39f94371d6897dd93211085d3cd69884e0ac034e018
Origin DeFi (OUSD and OETH),Immunefi,1000000,12700,422,"Solidity","Stablecoin","Defi","ETH","Smart Contract,Websites and Applications",2023-07-12,a59de858d5d396978f92fcb2800cba23f8a0cda046326606cdef3b7c299e47ed
Gro,Immunefi,1000000,0,0,"Solidity","Stablecoin,Lending,AMM,Yield Aggregator","Defi","ETH","Smart Contract",2023-03-08,2bc745cd9f4b884fdc216e78efabe02ca4c3d5428fb8fc650df82fab714a18c3
PancakeSwap,Immunefi,1000000,0,0,"Solidity","DEX,AMM","Defi","BSC","Smart Contract,Websites and Applications",2023-03-08,063811d48ee26350fab16e0ad4bd983d57cd864e28470b09d479c5da5a4f53b3
Sovryn,Immunefi,1000000,0,0,"Solidity","Staking,Lending","Defi","RSK","Smart Contract,Websites and Applications",2023-05-23,d8c4f334fcdde74d589ea6889a8e61b0abf81ac4b4b47a57e8ad4217cc309374
Carbon & Bancor,Immunefi,900000,9647,709,"Solidity","DEX,AMM","Defi","ETH","Smart Contract",2023-04-19,1d7d193fc2cad8c398ddd23468fc5e30784aa1498ccc0e7714e00f4db30227d5
Morpho,Immunefi,555555,0,0,"Solidity","Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-07-03,58308cd11cee6521dc65ec619b20a6b06117cde87e4fef03ecbafaff05b24003
Flux Finance,Immunefi,550000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-03-21,4898fe34aaa0862c0fcb67820a787d79ac80b71796a60119a3ca3c3f062f605a
StarkEx,Immunefi,1000000,0,0,"Solidity","DEX,Perpetuals","Defi","ETH","Smart Contract,Blockchain/DLT",2023-08-01,a6ae999d1f65c79b2495974a8dc8b6ebd8b3451576a84517f71d515dbaa3c387
Mynt and Zero,Immunefi,1000000,0,0,"Solidity","Stablecoin","Defi","RSK","Smart Contract,Websites and Applications",2023-06-16,ae9b7bdd09116b3acf11645c7adb24218da609f35c33ac3408890f7c96f9baf5
Kwenta,Immunefi,500000,0,0,"Solidity","Perpetuals,L2","Defi,Exchange","Terra,BSC,Polkadot,Cardano,Stacks","Smart Contract",2023-08-10,e0c74553c11c941d641677c136302a210942c019001a60b9c3d0047ae2eceacd
Threshold Network,Immunefi,500000,53000,1229,"Solidity","Synthetic Assets,Bug bounty,Staking,Crosschain Liquidity,Currency","Blockchain,Defi","ETH,Polygon,Optimism,Arbitrum","Smart Contract,Websites and Applications",2023-06-22,7c2507c70f6b60d9e3ff8a26aab1eaccd69a7de82a079ea17e3bb982ce014c03
Filecoin,Immunefi,500000,0,0,"Solidity,Rust","L1","Blockchain","","Blockchain/DLT",2023-04-14,5f1790c4da51727cc2797ad5fcfc40eba4740080f42883c9897c1878114ee45d
Davos,Immunefi,500000,0,0,"Solidity","Lending","Defi","Polygon","Smart Contract",2023-06-22,5ae47e48ea3a8806f3429d3ac51d845364eff54bbae789fbbdc264da5a58f05a
Decentraland,Immunefi,500000,0,0,"Solidity","","Defi","ETH,Polygon","Smart Contract,Websites and Applications",2023-02-01,6db6d056448830e5ee9f567ecb09075f06a081e0e081d7b3c18400fc13105e8a
Interlay,Immunefi,500000,208500,3413,"Rust","Crosschain Liquidity,Insurance","Defi","Polkadot","Smart Contract,Websites and Applications,Blockchain/DLT",2022-11-18,52b078abc466a095df078748dab7e48a8b2c51d6053632a117a7fa62a33064be
Helio,Immunefi,500000,0,0,"Solidity","Stablecoin,Lending,Yield Aggregator","Defi","BSC","Smart Contract",2022-10-24,2d8c8cd452a189e939e54eff5161e332ced2dd7708b7603180bd06a8be3227c4
Orca,Immunefi,500000,0,0,"Rust","Crosschain Liquidity,AMM","Defi","Solana","Smart Contract",2022-10-13,b27291962e8a993ce26a5595d98615381bfef6ee124eaecae8c8e8b5f55c0179
Wombat Exchange,Immunefi,500000,0,0,"Solidity","DEX,Crosschain Liquidity","Defi","BSC","Smart Contract,Websites and Applications",2022-10-16,b615895e740de939beefed449e630d9f876f41df2e5b0fd78746138ff6d14d62
Maple,Immunefi,500000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-06-24,dc095298db159e035acafdc1152cb4b0f2c02778f3ad3093e614257b9dc5ff8f
Port Finance,Immunefi,500000,0,0,"Rust","Lending","Defi","ETH,Solana,Terra","Smart Contract",2022-12-29,8d3d4df52cfb6b674a329998b56e87834fe62ce70bd9967c39169a771f37c9d6
Buttonwood,Immunefi,500000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract",2023-03-08,46b9c061e70f294026e4a7a70a491d15c3e0ad620b8a4f2f44a70cc70db0baa3
Cartesi,Immunefi,500000,0,0,"Solidity","L2","Blockchain","ETH,Avalanche,Polygon,BSC","Smart Contract,Websites and Applications",2023-08-08,00341893887cbd2619b3d687f683ec416b08864c601c902635da71342c1253cb
Sherlock,Immunefi,500000,0,0,"Solidity","Staking,Insurance","Defi","ETH","Smart Contract",2022-11-28,1a4e33acd1f0d7b707d1d09a6bd3259ff3242208fa353bd8ba4c67dadec4705f
Goldfinch,Immunefi,500000,94250,2171,"Solidity","Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-08-01,cb5546e9e3cc5f17c688870853f3e119fa9421394598bdada02867728157a3ed
Rocket Pool,Immunefi,500000,0,0,"Solidity","Staking","Defi,Infrastructure","ETH","Smart Contract",2023-08-04,fcef710a044799b6d09c48765355978c09c0d19caead67dcf060b86f997d9834
BENQI,Immunefi,500000,0,0,"Solidity","AMM","Defi","Avalanche","Smart Contract,Websites and Applications",2023-07-28,624b18aa68e27b9b1aab5bd250360bc62a9b988616096b318f19d884671cd4f6
Composable Finance,Immunefi,500000,0,0,"Solidity","","Infrastructure","ETH","Smart Contract",2023-03-08,decd1509a6561ceb292a531abc6df04e0531d66d5af4c289b751b01921da3c99
Alpha Venture DAO,Immunefi,500000,0,0,"Solidity","Staking,Crosschain Liquidity,Yield Aggregator","Defi,Infrastructure","ETH,Avalanche,BSC","Smart Contract,Websites and Applications",2023-04-17,a04187207a92ae46f9adac9ec159565525761fdc69a4daf023cf3d2a1e7a9706
Ajna,Immunefi,500000,0,0,"Solidity","Lending","Defi","ETH,Avalanche,Polygon,Optimism,Arbitrum","Smart Contract",2023-08-09,0117e8b00114b826461d31eee351418825a514523d40d2df28f35e6c22e0127f
Hook,Immunefi,500000,0,0,"Solidity","Options","NFT","ETH","Smart Contract",2023-07-31,0df198e392d5e4a9beadb4a581e98cee0cd2fb4c4355ef6bcc27ae5697ce998f
Ribbon,Immunefi,300000,0,0,"Solidity","Yield Aggregator,Derivatives","Defi","ETH","Smart Contract",2023-05-26,1c73824bf3375e889a84a8393072520be48372d7f89a6b76b29d71cc0a9badcc
Ondo Finance,Immunefi,250000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-03-07,a0d9c39859ccf662cf330689e6034e50eed1f3130837a5b06a32263b5dd3b0f2
Furucombo Funds,Immunefi,250000,0,0,"Solidity","DEX,L2","Defi","ETH,Polygon","Smart Contract",2023-04-28,fd98ab6acb6a82ca6b16ebe8f249b27680b46ca2a8e017c55b51e928bce35b09
Astar Network,Immunefi,250000,0,2748,"Rust","Staking,Crosschain Liquidity,L2","Defi","ETH,Polkadot","Websites and Applications,Blockchain/DLT",2023-05-20,ac300efac0bdda24e29c4ac5d1506db82303163e580bcb9dd123d030fd21a698
Marinade,Immunefi,250000,0,0,"Rust","Staking","Defi","Solana","Smart Contract",2022-11-23,bbd7d6bd52320dab20b2c18af215e95e4ae552b818438f56481a5cde8f415ef9
Cronos,Immunefi,250000,0,0,"Solidity","L1","Blockchain,Defi","Cronos","Smart Contract,Websites and Applications,Blockchain/DLT",2023-04-20,a001195f59e7f26a08e8c27a8d29a747faa97f544663d06222b3bc6df5e367a7
Notional,Immunefi,250000,0,135,"Solidity","Staking,Lending","Defi","ETH","Smart Contract,Websites and Applications",2023-07-03,094dbf24124209effd7c0cde2aed5ea4818f2151f40996acc3ff5512c1744fe8
Instadapp,Immunefi,250000,0,0,"Solidity","L2","Defi","Avalanche,Fantom,Polygon,Optimism","Smart Contract,Websites and Applications",2023-03-17,645fe360abc16fbe35fe5290223668e14b5c0fc2aaf4ef211adfda982bdd35ba
Tokemak,Immunefi,250000,0,0,"Solidity","Staking,Crosschain Liquidity","Defi","ETH","Smart Contract,Websites and Applications",2022-12-07,95016f0772fa9aa851bf79515441332f4a671c4a4b4211a5c69ea58e47d3dc3b
Pendle,Immunefi,250000,0,1914,"Solidity","AMM","Defi","ETH","Smart Contract",2023-04-05,5069bc71523e7225f1dc05e415ac509ce81cd042e694a7394bf6434a936b2f7d
DeFi Saver,Immunefi,250000,0,0,"Solidity","Asset Management","Defi","ETH","Smart Contract,Websites and Applications",2022-10-13,221ac405059cca97feab1e4ef0438b395d45ba518caaba15ef404cee0df7baf9
Yield Protocol,Immunefi,250000,147600,2370,"Solidity,Rust","Lending","Defi","ETH","Smart Contract",2023-08-04,23dd04caafafb085aea933f59fbde5dfbc3ba363039be61a3438d1267ca4bb5f
Perpetual,Immunefi,250000,0,0,"Solidity","Perpetuals","Defi","Optimism,xDAI","Smart Contract",2022-10-24,a36877a8a6a9b6fd811a3053b84d5d37558d2904f10146daed9294b6159729a7
Radiant,Immunefi,200000,0,6439,"Solidity","Staking,Crosschain Liquidity,Lending","Defi","Arbitrum","Smart Contract,Websites and Applications",2023-06-15,01a71f5d2819ca1c57224d348b25fde81a0210b7071ad9d1991bc400b9e53e79
ParaSpace,Immunefi,200000,0,0,"Solidity","Lending","NFT","ETH","Smart Contract",2023-03-22,1b6762b20024dfda6e8b38541ce4f3e27ba5a4541d25bd267e152241ad2296dc
Gearbox,Immunefi,200000,343000,419,"Solidity","Perpetuals,Options","Defi","ETH","Smart Contract",2023-01-09,ee75efc9fe3b8a9eb69f0b5460f99ba6c9cd6a2d68a009158de1bbc9279f7493
pNetwork,Immunefi,200000,0,0,"Solidity","L2","Defi,NFT","ETH,Polygon,xDAI","Smart Contract,Websites and Applications",2023-05-26,03d2f97285e4d331c9cb9f1c75a729b2a88a735e05282b61e566f8492e377db2
SpookySwap,Immunefi,200000,0,0,"Solidity","DEX,Staking,Crosschain Liquidity,AMM","Defi,NFT","Fantom","Smart Contract",2022-10-24,1b59549a440bf383c50f7cfddac3f1de18340abf0ab994ec86dcef54b51e9561
Gains Network,Immunefi,400000,118000,0,"Solidity","DEX,Perpetuals,Staking,L2,Options","Defi,NFT","Polygon","Smart Contract,Websites and Applications",2023-08-10,8638b396efe47d393109b1290a1c2b3efa377889b46d138c17185368c13878fb
Enzyme Finance,Immunefi,400000,536000,114,"Solidity","Asset Management","Defi","ETH","Smart Contract",2023-07-28,61d36ae07b23a5fc6b6e25165dc6dd30c75ae6c9ff484057975db29b28b1e254
SushiSwap,Immunefi,200000,469101,9577,"Solidity","DEX,AMM","Defi","ETH,Fantom,Polygon,BSC,xDAI","Smart Contract,Websites and Applications",2023-05-10,93c983dc3604142f5b941c271a4b90c24e0caaf76c9655277a3991489fd0f9f8
Popcorn,Immunefi,150000,26000,4397,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-06-28,94c3d113f6ca6988b1c78dba9d01cbd990fa821133c8919680a3496a2545c068
88mphV3,Immunefi,100420,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2022-10-13,d9ace973c6b8736bbdc0e4793e9b5811e99d1035fd0087fd91a1a4d2467bea13
Bonfida,Immunefi,100000,0,0,"Rust","","Defi","Solana","Smart Contract,Websites and Applications",2023-08-05,ba274415dbf68cc5513c13ce70472c0759fbd4a5eb56cebb301322a9e2f5d3bd
Utix,Immunefi,100000,0,0,"Solidity","","","ETH","Smart Contract",2023-07-27,3d07ce9b1879c7b9c2a41b4e1126c6b614d03f709f06e464a1e45bf15b429fae
Linea,Immunefi,100000,0,0,"Solidity","L2","Blockchain","","Smart Contract",2023-07-11,0a0957a4776a053d2d52c9bf998ee07e1dbfb9c5379c207147bb61760b71ae5a
Velodrome Finance,Immunefi,100000,0,0,"Solidity","DEX,Staking,AMM","Defi","ETH","Smart Contract",2023-07-19,a42e4ddc1275e6b85c333068644608b5cbf110d58054a5fdaf260ac0bb6cdd11
Push Protocol,Immunefi,100000,0,0,"Solidity","Staking","Infrastructure","ETH,BSC","Smart Contract",2023-06-21,70267788a064f6426b9556f158fbb576c792600eec5ad5591b04f35fc0b28e98
Lybra Finance,Immunefi,100000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-05-30,60d504516811738b60c81da7bfed8ec986b748899a5d38bba8b8a0c6265f5f96
Trader Joe,Immunefi,100000,0,0,"Solidity","DEX,Staking,Lending,AMM","Defi","Avalanche,Fuse,Arbitrum","Smart Contract",2023-06-19,74fe7d9afeaed5c2961d066edb946d5297f4f28169a520d8025283e40b18a3fe
Chronos,Immunefi,100000,0,0,"Solidity","DEX","Defi,NFT","Arbitrum","Smart Contract",2023-05-03,6a45762c19ee5e1fc93c4af076bc85c0f3a0fda6f6df582418d4eb8c976050f4
IPOR,Immunefi,100000,1000,646,"Solidity","Asset Management,DEX,Staking,AMM,Derivatives","Defi","ETH","Smart Contract",2023-04-19,1df814a26b844266cc1a411d65d1f85271fbb380a6571617fa852f1a5a04ba0b
Uniwhale,Immunefi,100000,21200,371,"Solidity","Synthetic Assets,Oracle,DEX,Perpetuals,Derivatives","Defi","BSC","Smart Contract",2023-05-01,33b2e0fb8bd0d0bb6574b2cb6167a40cdbb74c686af4b4200da2429b3675bc89
Metronome,Immunefi,100000,0,0,"Solidity","Synthetic Assets,Yield Aggregator","Defi","ETH","Smart Contract,Websites and Applications",2023-02-23,afbbee70e8e4ff1c9121794e3ef2aa55d29c2e85f47eb656f756d6512d3196b2
DFX Finance,Immunefi,100000,128000,2915,"Solidity","DEX","Defi","ETH,Polygon","Smart Contract",2023-02-13,3307881c00a7abfdd2aac79c19078f548a1a58637ff05b1a92e8e8da90c08dff
Mars Protocol,Immunefi,100000,20000,0,"Rust","L1","Blockchain","Terra","Smart Contract,Blockchain/DLT",2023-08-08,ca47c283b0a19950a39fb8788ce381d3d79646eeda8217d6e2654d422480fd4b
Pods,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract,Websites and Applications",2023-06-01,4ac495616c61941c3da825c6ec9a5f7796f1afb16a005d84343efff95816f78f
Geode Finance,Immunefi,100000,0,0,"Solidity","Staking","Defi","Avalanche","Smart Contract,Websites and Applications",2023-03-08,c3205e05cf93a0363684527d16c2fe6e2d80a8ce1f98c983a1e90fc288b5f09a
Revert,Immunefi,100000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract",2022-11-15,b28de340c0da93fef847e092ba4a1d2d0fc33d04b0ce3b6ca0a5da5369277cf2
